cluster_id,size,top_words,top_queue,top_tag,rep_tickets
0,400,"verzögerung, problem, lösung, team, support, innerhalb, stunde, nich, nwir, manuell",News,Performance,"[['Bezüglich zeitweiliger Ausfallzeiten', 'Business & Industrial/Manufacturing', nan], ['Anfragen bezüglich Verzögerungen bei Aktualisierungen des Bewertungsstatus', 'Hobbies & Leisure/Collectibles', nan], ['Dringend: Problem mit der Funktion für Eilmeldungen', 'News', nan]]"
1,262,"digital, strategie, markenwachstum, marketing, online, information, freuen, brand, fördern, dienstleistung",Customer Service,Feedback,"[['Anfrage zu Digitalstrategien für Wachstumssteigerung', 'Customer Service', 'Marketing'], ['Frage zu Digitalstrategien', 'IT Support', 'Feedback'], ['Taktiken für die Markenentwicklung durch digitale Marketingstrategien', 'Customer Service', 'Customer']]"
2,569,"problem, kritisch, dringend, ausfall, sofortig, support, erheblich, team, beeinträchtigen, lösung",Autos & Vehicles/Sales,Billing,"[['Problem mit der Menüsynchronisierung gemeldet', 'Food & Drink/Restaurants', nan], ['Kritisches Ereignis: Ausfall des Liefersystems - Dringende Aufmerksamkeit erforderlich', 'Food & Drink/Restaurants', nan], ['Kritisches System ausgefallen: Sofortiges Handeln erforderlich', 'Beauty & Fitness/Cosmetics', nan]]"
3,277,"digital, marketing, kampagne, problem, campaign, the, agentur, marketingagentur, campaigns, our",Technical Support,Bug,"[[nan, 'Customer Service', 'Bug'], ['Hilfe bei Marketing-Kampagnen-Problemen', 'Product Support', 'Feedback'], ['Anfrage bezüglich Störung bei digitalen Kampagnen unserer Marketingagentur', 'Product Support', 'Disruption']]"
4,296,"medizinisch, datum, it, sicherung, krankenhaus, information, sicherheitsmaßnahme, verschlüsselung, vertraulichkeit, patientendat",Customer Service,Security,"[['Schutz medizinischer Daten durch KNIME-Integration', 'Sales and Pre-Sales', 'Security'], ['Verschlußsicherung medizinischer Daten in Krankenhaus-Systemen', 'IT Support', 'Security'], ['Medizinische Daten-Sicherung', 'Technical Support', 'Backup']]"
5,492,"problem, nich, neu, support, melden, lösung, versuchen, fehler, team, app",Technical Support,Technical,"[['Sporadische Fehler bei der Gutscheinprüfung', 'Shopping/E-commerce', nan], ['Probleme durch unkompatiblen Abhängigkeiten', 'Product Support', 'Customer'], ['Dringend: Meldung über schwerwiegende Systemstörung', 'Jobs & Education/Online Courses', nan]]"
6,131,"saas, the, problem, with, issue, issues, and, plattform, project, management",Technical Support,Bug,"[['Regelmäßige Performance-Einbrüche auf der SaaS-Plattform', 'IT Support', 'Performance'], ['Häufige Performance-Einbrüche bei SaaS-Plattform', 'IT Support', 'Performance'], ['Zugriffsprobleme auf die Plattform', 'Technical Support', 'Security']]"
7,478,"medizinisch, system, datum, it, software, krankenhaus, veraltet, firewall, zugriff, security",Technical Support,Security,"[['Datensperre-Problem', 'Product Support', 'Bug'], ['Verschleierung von medizinischen Daten', 'Billing and Payments', 'Security'], ['Datensicherheitszugriffsproblem', 'Sales and Pre-Sales', 'Security']]"
8,463,"problem, the, issue, and, software, with, system, neu, server, starten",Technical Support,Bug,"[['Fehler im System Kundensupport', 'Product Support', 'Bug'], ['Plötzlicher Systemausfall unserer Datenanalyseplattform während der Stoßzeiten', 'Technical Support', 'Crash'], ['IstcstdinteMicrosoftTeams', 'Technical Support', 'Bug']]"
9,251,"integration, verbessern, projektmanagement, for, unterstützung, information, bitte, freuen, anfrage, and",Technical Support,Feature,"[['Aktualisierung und Optimierung der Software-Integrationen', 'IT Support', 'Feature'], ['Notwendige Unterstützung für Projektmanagement', 'Service Outages and Maintenance', 'Maintenance'], ['Anfrage bezüglich aktualisierter Anleitungen für Sticksoftware', 'Hobbies & Leisure/Crafts', nan]]"
10,138,"vpn, problem, spam, support, team, verbindung, spamfilter, nich, beeinträchtigen, beitrag",IT & Technology/Network Infrastructure,Network,"[['Betreff: VPN-Serviceunterbrechung', 'IT & Technology/Network Infrastructure', nan], ['Meldungen über VPN-Verbindungsprobleme', 'IT & Technology/Network Infrastructure', nan], ['Meldung von VPN-Verbindungsproblemen', 'IT & Technology/Network Infrastructure', nan]]"
11,171,"saas, integration, projektmanagement, for, plattform, information, project, management, freuen, detailliert",Customer Service,Feature,"[[nan, 'Technical Support', 'Product'], ['Kundendienst-Anfrage erhalten', 'Product Support', 'Feature'], [nan, 'Customer Service', 'Product']]"
12,469,"anfrage, bezüglich, nich, schreiben, support, team, name, hallo, bitte, unterstützung",Food & Drink/Groceries,Billing,"[['Anfrage bezüglich des Zugangs zu Kundensupport-Ressourcen', 'Business & Industrial/Manufacturing', nan], ['Anfrage bezüglich Kroger-Lieferhilfe', 'Food & Drink/Groceries', nan], ['Anfrage bezüglich des Zugriffs auf den Kundensupport', 'Business & Industrial/Manufacturing', nan]]"
13,317,"investment, problem, data, the, software, issue, with, analysis, and, issues",Technical Support,Bug,"[['Kürzliche Datenanalyse-Ausfälle beeinträchtigen Finanzinstitut', 'Customer Service', 'Performance'], [nan, 'Technical Support', 'Bug'], ['Probleme mit dem Datenanalysewerkzeug', 'IT Support', 'Technical']]"
14,286,"datenanalyse, optimierung, investition, investment, data, tools, verbesserung, freuen, werkzeug, for",Technical Support,Feature,"[['Verbesserung der Investments durch Analyse', 'Billing and Payments', 'Feedback'], ['Hilfe bei der Kombination von Datenaufbereitung und Investitionsoptimierung', 'Customer Service', 'Feedback'], ['Verbesserung von Investitionen durch Datenanalyse und Produkte', 'Customer Service', 'Feedback']]"
